artist_name,listeners,playcount,bio_summary
Maluma,981378,30660697,"Juan Luis Londoño Arias (Born January 28, 1994, Medellín, Colombia), is a singer of Colombian nationality. He began his musical career at an early age in his hometown of Medellín, there has developed an established career in Latin America, becoming nominated for several awards from major musical relevance. Prior to serving as a singer, Maluma started in football, a sport he practiced for eight years in a row, reaching the lower divisions of the equipment Atlético Nacional and La Equidad."
Sukima Switch,161438,2179155,"Sukima Switch (スキマスイッチ?) is a Japanese jazz fusion duo consisting of core members Takuya Ōhashi (大橋卓弥, Ōhashi Takuya?), born May 9, 1978, and Shintarō Tokita (常田真太郎, Tokita Shintarō?), born February 25, 1978, formed in 2003. Formerly part of BMG Japan (bought by SMEJ in early 2009), they are part of Sony Music Japan's Areola Japan label since September 2009. Ōhashi's musical duties include vocals, guitar, and harmonica while Tokita's duties include piano/keyboard"
Nicolas Mayorca,15143,92551,
Ha*Ash,157318,3831303,"Ha*Ash is a Mexican-American pop/rock duo of the sisters Hanna Nicole Pérez Mosa and Ashley Grace Pérez Mosa. Combining a mix of latin pop, country and singer/songwriter, the Mexican-based duo has had great success specially in their two homes Mexico and the US. Their hits include ""Estes Donde Estes"",""Odio Amarte"",""Te quedaste"",and ""Amor a Medias."""
Djane HouseKat,65075,383528,"DJane HouseKat is a German singer and DJ specializing in electronic techno music. She became famous internationally for her 2012 dance hit ""My Party"" featuring British rapper Rameez. It was produced by Axel Konrad including sampling from the Michael Zager Band classic ""Let's All Chant"". Released in January 2012, it soon caught up in all night venues and has charted in Germany, Austria, Switzerland and the Scandinavian countries. Pro Sieben station"
Sam Martin,15145,88823,Sam Martin is a member of The Capgun Coup and plays folk songs under his birth name. http://www.main.imdrinkinthis.railsplayground.net/artists/10
Shakira,4790456,175467207,"Shakira Isabel Mebarak Ripoll is a Colombian singer. Born and raised in Barranquilla, She made her recording debut with Sony Music Colombia at the age of 13. Following the commercial failure of her first two albums, Magia (1991) and Peligro (1993), she rose to prominence in Hispanic countries with her next albums, Pies Descalzos (1995) and Dónde Están los Ladrones? (1998). She entered the English-language market with her fifth album, Laundry Service (2001), which sold over 13 million copies worldwide."
Alkilados,74280,719895,"Juan, Lucho, JuanMa, Xavi y Eche son los 5 ALKILADOS Colombianos que pretenden llevar al mundo un sonido PURA PLAYA. ALKILADOS se lanzó al mercado el 26 de junio de 2011 en el Eje Cafetero - Colombia, su sonido pop con influencias de reggae, soka, dancehall y todos los sonidos urbanos que les permita trasladarse al caribe, los lleva a lograr con su primer sencillo SOLA, los primeros lugares de la radio en Colombia, Venezuela y Ecuador. Su Música"
Toquinho,680051,10216319,"Antonio Pecci Filho (born in São Paulo, Brazil on July 6, 1946), originally nicknamed ""Toquinho"" by his mother, is a Brazilian singer and guitarist. He is well-known for his collaborations, as composer and performer, with Vinícius de Moraes. He began his guitar studies at the age of 14 with Paulinho Nogueira and went on to study harmony with Edgar Janulo, classical guitar with Isaias Sávio and orchestration with Léo Peracchi. He also studied with and befriended Oscar Castro-Neves."
2PM,413897,23770320,"2PM is a South Korean boygroup formed by JYP Entertainment in 2008. The current members are JUN. K, Nichkhun, Taecyeon, Wooyoung, Junho and Chansung. Former leader Jay Park officially left the group in early 2010. They started when J.Y. Park formed an 11 member group known as One Day. Eventually the group was split into 2PM and a similar but independent group known as 2AM. 2PM debuted with the song ""10점 만점에 10점"" (10 out of 10), which showcased their acrobatic dance styles."
Beluga's Trio,20133,122877,
Justin Bieber,4690099,310223780,"Justin Drew Bieber (born March 1, 1994 in London, Ontario, Canada) is a Grammy Award winning Canadian pop singer, songwriter, and multi-instrumentalist. Bieber was discovered in 2008 by American talent manager Scooter Braun, who came across Bieber's videos on YouTube and later became his manager. Braun arranged for him to meet with entertainer Usher Raymond in Atlanta, Georgia. Bieber was signed to Raymond Braun Media Group (RBMG), and then to an Island Records recording contract offered by record executive L.A. Reid."
BANKS,1179390,50357057,"Jillian Rose Banks, known mononymously as Banks (stylized in all caps), is an American singer and songwriter. Following the release of two EPs, Fall Over and London, in 2013, Banks released her debut album, Goddess, in 2014 to positive reviews from contemporary music critics. It reached number 12 on the US Billboard 200, while its most successful single, ""Beggin for Thread"", was certified platinum by the Recording Industry Association of America (RIAA)."
Mr. Juve,6808,101222,
Benjamin Clementine,190182,3469175,"Benjamin Clementine (born Benjamin Sainte-Clémentine in London on 7 December 1988) is a British composer, musician and actor. Learning piano from age 11, Clementine left school at 16 after failing most of his examinations. Following this, he had a dispute with his family and ended up in Camden Town, London, homeless and in psychological and financial difficulties. He relocated to Paris at age 19, where he spent a number of years busking and playing in bars and hotels in Place de Clichy while sleeping on the streets."
Nick Mulvey,440756,6852125,"Nick Mulvey (1984) is an English musician, singer-songwriter and founder member of 2008 Mercury Prize nominated band Portico Quartet. At the age of 19, Nick moved to Havana, Cuba to study music and art. On returning to the UK, Nick enrolled at the University of London's School of Oriental and African Studies to study Ethnomusicology. In 2011, he left Portico Quartet to pursue his career as a solo singer-songwriter . He released two EPs, The Trellis (Communion Records 2012) and Fever to the Form (Communion Records 2013)"
Nicki Minaj,4689190,303409796,"Onika Tanya Maraj-Petty, born December 8th, 1982, in Trinidad & Tobago, is known professionally as Nicki Minaj. Minaj gained fame as a rapper and singer, through Lil Wayne and her former group, 'The Hoodstarz'. As a musician, Minaj was recognized for her musical versatility, alter egos, and the animated flow of her raps. She first gained underground attention after releasing her debut mixtape, Playtime Is Over. Two more mixtapes. Sucka Free and Beam Me Up Scotty, followed before her debut studio album, Pink Friday."
Alejandro Sanz,679249,14752190,"Alejandro Sanz, born Alejandro Sánchez Pizarro on December 18, 1968 in Madrid, is an Award winning, Spanish pop/ballad musician and singer-songwriter who has won a record 17 Latin Grammys, more than any other Spanish musician in history. He has sold more than 25 million albums worldwide. Alejandro Sanz is the second son of María Pizarro Medina from Alcalá de los Gazules, and Jesús Sánchez Madero from Algeciras, Spain. He began playing guitar at the age of seven and composing his first songs three years later."
Freeway,333157,2274785,"There is more than one artist with the name Freeway: The first is: 1. Leslie Edward Pridgen (born March 24, 1977), better known by his stage name Freeway, is an American rapper. Freeway a.k.a. Philly Freeway began rapping while in high school. He later met fellow rapper Beanie Sigel, who would be signed to Roc-A-Fella and later help Freeway get a contract with the record label. Freeway became one of the label's most visible artists after making"
Florence   The Machine,16867,184316,"This is an incorrect tag for the band Florence + The Machine. Songs scrobbled to this incorrect tag will automatically redirect to the correct tag if Autocorrection is turned on. However, it is recommended that you change your ID3 tags to the correct artist name."
Fondo Flamenco,62527,832180,"Fonco Flamenco is a group from Sevilla, Spain composed by Astola, Antonio and Rafael. The group started with Astola and Rafael at their early age of 13. Antonio came later on. Astola writes and composes the songs for the group. He is also the one credited for the idea of naming the group Fondo Flamenco. The name came as result of a comment that he made to Rafael while they were taking pictures of themselves in a tipical sevillian courtyard and he told Rafael ""Let's take a picture of us with this flamenco backgroung (fondo flamenco)""."
Reik,611595,14103046,"Reik is a Mexican band from Mexicali, Baja California, Mexico. Formed by Jesús Alberto Navarro Rosas (Lead Vocals), Julio Ramírez Eguía (Guitar, Backing Vocals), and Gilberto Marín Espinoza ""Bibi"" (Backing Guitar, Backing Vocals). In 2003, Jesús Navarro and Julio Ramirez started their then-nascent musical project, tentatively called ""Reik"". It was then they recorded their first demos, which were released through the Mexican underground club scene."
Emeli Sandé,805177,13426270,"Adele Emeli Sandé (born 10 March 1987: Sunderland, England and raised in Alford, Aberdeenshire, Scotland) known by her stage name Emeli Sandé, is a soul and R&B recording artist and songwriter signed to Virgin Records. Sandé made her singing career debut in 2009 after appearing on the track she wrote for Chipmunk's first debut single, ""Diamond Rings"". The single charted at No. 6 on the UK Singles Charts, making it Chipmunk and Sandé's first ever Top 10 Hit."
Lucian Printu,2,2,
Xenturion Prime,5859,111378,"Born 2013 in Lysekil, Sweden from the ashes of Code 64, Hasse Mattsson & Bjørn Marius Borg present – Xenturion Prime – a musical hybrid, combining electronic industrial and synthpop with cutting edge EDM and epic orchestral soundscapes. Although impossible to put the band’s music into the confines of one single genre, Xenturion Prime can be summed up in one word – Powersynth. Their music is highly versatile yet focused, hard-hitting yet melodic and fuelled by pure emotion."
Joey Galaxy,62,437,Also known as Young Cash
Megabass,705,4193,"MegaBass consists of Darren Ash and Martin Smith. They have released various mixed albums, most notably 3 megaBass albums and 3 Hit The Decks albums. Music varies from Dance, Latin Freestyle & R&B (Megabass series) to Jungle & New Beat (Hit The Decks 3)."
El Arrebato,64238,598763,"Javier Labandón, más conocido por su nombre artístico El Arrebato, es un cantautor español de rumba-pop y flamenco. Comenzó su carrera artística sobre 1985 y su carrera discográfica en 1988 sacando su primer disco con el grupo Piel morena en el que le acompañaban 2 grandes amigos de su Sevilla natal . Con ellos cosechó sus primeros éxitos hasta el 8 de septiembre de 1998, cuando Piel Morena se disolvió definitivamente tras varios cambios en la formación."
El Cuarteto De Nos,269132,18739260,"El Cuarteto de Nos is an Uruguayan alternative rock band formed in 1984 in Montevideo. The band was originally comprised of the Musso brothers (Roberto and Riki Musso) and Santiago Tavella, who they had met in high school. In 1984 they released their debut album, a split LP with uruguayan candombe musician Alberto Wolf under the Ayuí / Tacuabé label. Leonardo Baroncini was hired to be a guest drummer on the record. In March 1987 they released Soy una arveja"
DJ Antoine,646078,7041329,"The house scene today would be unimaginable without DJ Antoine. Always well turned out and being wooed by top sponsors (Paco Rabanne, Hummer (General Motors), Campary, SKYY Vodka, Moonlight, Chupa Chups, J. Lindeberg, Y3, Podspeakers, Numark etc.), this trendsetter is also an attention-getter. Following a 10-year sprayer career as a bad boy in Basel's hip-hop scene, Antoine was gripped by the pumpin' house wave and has ridden it to the max ever since."
Becky,10681,104707,"There are several artists named Becky. 1. (Source: Entertainment Weekly): The band ""becky"" led by Rebecca Lord. They were a famous rock group who performed the theme song of the Famous Playhouse Disney Series ""JoJo's Circus"". The band is under Walt Disney Records. 2. (Source: Wikipedia): Becky (ベッキー, bekkii?) is a popular talent in Japan under the entertainment company Sun Music. Born on March 6, 1984, in Kanagawa, she is the daughter of a Japanese mother and an English father."
Pharrell Williams,2690054,47439175,"Pharrell Williams (born April 5, 1973 in Virginia Beach, Virginia, United States), also known by his mononym Pharrell, is an American singer-songwriter, rapper, record producer, and fashion designer. Williams and Chad Hugo make up the record production duo the Neptunes, producing soul, hip hop and R&B music. He is also the lead vocalist and drummer of rock, funk, and hip hop band N*E*R*D, which he formed with Hugo and childhood friend Shay Haley."
Red Velvet,1359809,240205333,"There are three artists with this name: 1) Red Velvet (Hangul: 레드벨벳) are a five-member South Korean girl group formed by SM Entertainment in 2014. The group consists of Irene (아이린), Seulgi (슬기), Wendy (웬디), Joy (조이), and Yeri (예리). Their name is a play on their dual concept of ""red"" and ""velvet;"" the ""red"" half is their brighter and bubblier side, while their ""velvet"" image is their softer, more mature and elegant concept."
Sophie Ellis-Bextor,1767750,31286267,"Sophie Michelle Ellis-Bextor (born 10 April 1979) is an English singer, songwriter and model. She first came to prominence in the late 1990s, as the lead singer of the indie rock band theaudience. After the group disbanded, Ellis-Bextor went solo, achieving widespread success in the early 2000s. Her music is a mixture of mainstream pop, disco, nu-disco, and 1980s electronic influences. Sophie Ellis-Bextor has released six solo albums: Read My Lips"
Andrew Belle,501304,7913912,"Andrew Belle is a 33 year old singer-songwriter from Chicago, IL. Combining hook-ridden melodies and powerful vocals, Belle has become a respected name amongst young performers in the Chicago music circuit. He has performed hundreds of shows in the past 2 years; quickly becoming a favorite at Downtown Chicago's national hot-spot 'Rock It Bar and Grill'. Releasing his debut recording 'All Those Pretty Lights EP' on iTunes this fall; expect big things in the near future for this bright, young talent (http://www.briterevolution.com/artists/)"
Jay Park,598212,22015328,"Jay Park (박재범; born April 25, 1987) is an American hip hop recording artist, dancer, record producer, model, choreographer, entrepreneur and actor. In his early high school years, he joined the local b-boy crew, Art of Movement (AOM). It wasn't until 2004 when he auditioned for JYP Entertainment that he caught the eye of Park Jinyoung and was brought to Korea to receive further training in dancing, rapping, singing, and the Korean language."
Tyler Ward,302455,3278275,"Tyler Ward is a American pop singer and musician. He began his career on YouTube, posting several covers of existing songs, including covers of Katy Perry, Justin Bieber, and Ke$ha, as well as writing and singing his own songs. He often colloborates with Julia Sheer"
Hype,18257,199978,"There are multiple artists with the name Hype: 1- Hype is one of the most interesting & progressing modern synthpop/futurepop bands... Project of Robert Enforsen (Elegant Machinery frontman). 2- Hype was a Norvegian dance project, produced by LéCream. It was made of 2 rappers (among them, Patrik Wincent, who had also taken part to the projects Look Twice, Black Label, X:Tend...) and a female vocalist, Linda Johansens, who is one of the most well-known pornstar in her homeland. They released the album ""Provocative""."
Cholo Valderrama,3961,40934,"Orlando «Cholo» Valderrama is one of the most successful artists of colombian llanera music. With more than 30 years of career and over 15 albums recorded, he has become one of the big names in the llanero folklore. He has traveled along the world as an ambassador of the traditional music. He has visited several times countries like China, Japan, Korea, USA, Mexico, Guatemala, Panama, UK, France, Germany, Spain, Italy and of course Venezuela, where he received the ""florentino de Oro"" price Honoris Causae."
Shawn Mendes,2661459,138373715,"Shawn Peter Raul Mendes is a Canadian singer. He gained a following in 2013, posting song covers on the video-sharing application Vine. The following year, he caught the attention of artist manager Andrew Gertler and Island Records A&R Ziggy Chareton, which led to him signing a deal with the record label. Mendes's self-titled debut EP was released in 2014, followed by his debut studio album Handwritten in 2015. Handwritten debuted atop the US Billboard 200, making Mendes one of five artists ever to debut at number one before the age of 18."
Rhodes,265356,2570348,"There are four artists with the name Rhodes: 1) Rhodes released his debut EP 'Raise Your Love' on 28th October 2013, via Hometown Records. The EP was recorded with James Kenosha and Charlie Fink (Noah and the Whale) The debut EP follows on from Rhodes' demo track 'Always' - self recorded in his Hitchen bedroom - which was playlisted on Amazing Radio for a month earlier this summer and has also picked up a handful of plays from Radio 1. 2) Rhodes are a twinkly emo band from Liverpool, UK."
Brian Cross,29253,125998,"Brian Cross is a Spanish DJ, Producer and Business Entrepreneur with a unique approach to the ever-changing music industry. With Festivals like Tomorrowland, Tomorrowworld and Sunburn GOA in his touring schedule, Sony Music as record label and a big studio album on the way, it's safe to say that Brian Cross is a name to keep a close eye on in the nearest future. Born and raised in Barcelona, Brian started his musical career remixing Frank Trax’s"
Kike Boy,1605,5871,"Enrique Pascual López Mejía also known as Kike Boy is a Spanish deejay and producer, who released a lot of hits in the 90s. Singles: ""Orbital"", ""Croack"", ""Generation X"", ""Kabuki"", ""Farmatron"", ""Teknogroove"", ""Jumper"", ""I'm The Creator"", ""Trouble Shooting"" and ""In The Beginning""."
Jamie Lawson,197079,1552576,"Jamie Lawson (born December 1, 1975, in St Budeaux, Plymouth) is an English singer-songwriter and musician. He was the first artist to be signed by Ed Sheeran's record label, Gingerbread Man Records. Lawson is best known for his hit single, ""Wasn't Expecting That"", and his self-titled album which peaked at number one on the UK Albums Chart in 2015. A musician and lyricist of uncommon and mature gift, and one blessed with a gloriously fluid and expressive voice"
Sarayma,3495,22363,
lavi kou,223567,2687450,
Andrés Cepeda,96483,2533045,"Andrés Cepeda es uno de los artistas colombianos de mayor reconocimiento a nivel nacional e internacional, sus bellas composiciones lo han consagrado como uno de los cantautores mas versátiles de Latinoamérica. Andrés Cepeda nació en Bogotá el 7 de julio de 1973; es el menor de una familia de cinco hermanos. Su talento lo obtuvo desde niño con tan solo 5 años decide comenzar sus estudios musicales tocando el piano, luego en su adolescencia"
Morat,300165,22216076,"Morat is a Colombian band formed in the country's capital city, Bogotá. The band is formed by Juan Pablo Isaza (guitars and vocals), Juan Pablo Villamil (banjo and vocals) and the brothers Simón Vargas (bass and choruses) and Martín Vargas (percussion and choirs). Previously, until the end of 2016, drummer Alejandro Posada had been in the band, but the percussionist had to leave the project, being subsequently replaced by Martín Vargas. They began to stand out internationally in 2015"
Little Mix,1816283,111982411,"Little Mix is a British girl group formed in 2011 during the eighth series of the British version of The X Factor. The group has 3 members: Jade, Perrie, and Leigh-Anne. Originally a four-piece group, Jesy Nelson officially left the group on December 14, 2020, to focus on her solo career. They were the first group to win the competition, and following their victory, they signed with Simon Cowell's record label Syco Music and released a cover of Damien Rice's ""Cannonball"" as their winner's single."
Junior Caldera,112752,882347,"Junior Caldera is a disc jockey from Paris, France. A multi-instrumentalist, Caldera was influenced by many musical styles and made rock music before becoming involved in house music in 2002 whilst working as a stage designer in a number of Parisian nightclubs. To date, he has released one studio album and three official singles, two of which have reached the top 40 of the French singles chart. Aside from his solo career, Caldera has produced remixes for a number of musicians, such as Enrique Iglesias."
Los Rebujitos,28633,403387,"THIS TEXT IS FROM WIKIPEDIA: Manuel y Yerai forman el grupo ""Los Rebujitos"". Nacidos en Tarifa (Cádiz), sacan su primer disco en el año 2004 bajo el título ""Lo Que Me Gusta De Ti"". Un álbum con el cual logran hacerse un hueco en el mundo de la música, vendiendo mas de 40.000 mil copias y realizando más de 70 conciertos por toda la geografía española. Después de ese éxito deciden editar una Edición Especial, con temas extras y un DVD con algunos temas en concierto y videoclips."
Lorde,3660630,433798955,"Ella Marija Lani Yelich-O'Connor, known professionally as Lorde (born 7 November 1996 in Takapuna, Auckland, New Zealand), is a New Zealand singer-songwriter. Taking inspiration from aristocracy for her stage name, she is known for her unconventional musical styles and introspective songwriting. Lorde expressed interest in performing at local venues in her early teens. She signed with Universal Music Group (UMG) in 2009 and collaborated with producer Joel Little in 2011 to start recording music."
Gregory Porter,436100,6366505,"Gregory Porter (born November 4, 1971)[1] is an American singer, songwriter, and actor. He won the Grammy Award for Best Jazz Vocal Album in 2014 for Liquid Spirit and in 2017 for Take Me to the Alley.[2] Gregory Porter was born in Sacramento and was raised in Bakersfield, California, where his mother was a minister. A 1989 graduate of Highland High School, he received a ""full-ride"" (tuition, books, medical coverage, and living expenses) athletic scholarship as a football lineman to San Diego State University (SDSU Aztecs)"
Tove Lo,2396316,121598562,"Ebba Tove Elsa Nilsson, known professionally as Tove Lo, is a Swedish singer and songwriter. She is known for her raw, grunge-influenced take on pop music. Her honest, complex and autobiographical lyrical content has led to her being dubbed ""the saddest girl in Sweden"". Raised in the Djursholm district of Danderyd, Lo is an alumna of the music school Rytmus Musikergymnasiet. She formed the rock band Tremblebee in 2006. After it disbanded, Lo pursued a career in songwriting and earned a publishing deal with Warner/Chappell Music in 2011."
Taylor Swift,5847235,3592587021,"Taylor Alison Swift is an American singer-songwriter. Her discography spans multiple genres, and her narrative songwriting, which is often inspired by her personal life, has received widespread media coverage and critical praise. Swift rose to mainstream prominence with her sophomore studio album, Fearless (2008), a country pop record with crossover appeal. Aided by the top-five singles “Love Story” and “You Belong with Me”, Fearless was certified Diamond by the Recording Industry Recording Industry Association of America (RIAA)."
La Húngara,15251,142683,
Anitta,1183963,152117642,"Larissa de Macedo Machado, known professionally as Anitta, is a Brazilian singer, songwriter, dancer, businesswoman, and TV presenter. She rose to national fame with the release of her single ""Show das Poderosas"" in 2013. After achieving commercial success with her debut single ""Meiga e Abusada"" in 2012, she signed a recording contract with Warner Music Brazil in January 2013. In July of the same year, she released her self-titled debut album which produced four successful singles and was certified platinum in Brazil."
Loreen,781267,20166147,"Loreen (born Lorine Zineb Nora Talhaoui on October 16, 1983 in Västerås, Sweden) is a Swedish singer and music co-producer of Moroccan-Berber descent, who rose to international fame after winning the Eurovision Song Contest 2012 in Baku, Azerbaijan, with chart topping ""Euphoria"". Later on going to once again win Eurovision Song Contest in 2023 in Liverpool, United Kingdom with her successful song ""Tattoo""."
Mino,260476,5060285,"There are four artists with this name: 1. MINO (미노) (born Song Min-ho, March 30, 1993 in Yongin, South Korea) is a South Korean rapper and member of the chart-topper boy group WINNER signed under YG Entertainment. He has also participated in the television series The Strongest K-POP Survival, and was series runner-up for the 2015 rap contest Show Me the Money 4. MINO was initially a trainee intended for the male group Block B, but left the group before debut for personal reasons."
Camila,501623,10695860,"There are 2 artists that perform under the name ""Camila"": 1. A Mexican soft rock group. 2. An English speaking VTuber. 1. Camila is a Mexican soft rock group formed in 2005 which reached success in their home country and all over Latin America upon the release of their debut album Todo Cambió. (Not to be confused with South Korean pop group Camila, which can be found here: 카밀라) The group includes Mario Domm (producer and composer) from Mexico City"
Mika,2624380,70993036,"There are multiple bands/artists under the name Mika. 1) Mika (born Michael Holbrook Penniman in 1983) is a Lebanese-born British singer. He first appeared on BBC Radio 1 in September 2006. He has a background in classical songwriting. His long awaited first album Life In Cartoon Motion was commercially released on 5th February 2007. It has a coming of age theme, and deals with the transition from childhood to his current position in life. His debut single was Relax"
Beyoncé,6307561,683935383,"Beyoncé Giselle Knowles-Carter (born September 4, 1981 in Houston, Texas, USA) is an American singer, songwriter, businesswoman, and actress. Beyoncé performed in various singing and dancing competitions as a child and rose to fame in the late 1990s as the lead singer of Destiny's Child, one of the best-selling girl groups of all time. Beyoncé herself is the best-selling black female musician of all time and second best-selling female artist of all time, behind only Madonna."
Stereo Dub,42706,244373,
Molly Nilsson,227973,6386376,"Molly Nilsson is a Swedish singer and producer, currently based in Berlin, Germany. Her magical melodies and touchingly clever lyrics grow on you as you find yourself listening to them over and over again. With her one-woman-show, this escaped Swede brings her nostalgic pop, on a journey through life and death, with love and trouble, to a No Mans Land, on the border between reality and dream. Molly Nilsson has been running her own label and producing her own music since 2007"
GD X TAEYANG,157848,1442775,"G-Dragon and Taeyang are two members of a successful South Korean male quintet Big Bang, who have been active since 2006. The pair made their sub-unit debut in November of 2014 with the digital single ""Good Boy"". Prior to the formation of Big Bang in 2006, they were set to debut as a duo named 'GDYB' to represent their initials before Youngbae adopted the stage name of 'Taeyang'."
Kodaline,1455013,30014062,"Kodaline is a Dublin-based Irish alternative rock quartet. Originally known as 21 Demands, the band made chart history in March 2007, when their debut single ""Give Me A Minute"" topped the Irish Singles Chart; becoming the first independently released track to achieve the feat. In 2005 the band made it to the final of RTE-broadcast programme 'You're a Star' in Ireland, coming in second place, and then in 2011 they changed their name to Kodaline."
Aleks Syntek,298492,3484472,"Mexican Aleks Syntek was born in September 29 of 1969. This talented musician has been involved in many different projects from advertisements to TV shows and movies. By the late '80s, Syntek, along with two friends, decided to form an alternative band. Their first record, called Hey Tú, was released by EMI in 1990, followed by Más Fuerte De Lo Que Pensaba in 1993. The latter included a contribution from former The Doors Ray Manzarek who played in a song called ""Nuestras Costumbres."""
Vulfpeck,587687,23302226,"Vulfpeck is an American funk group founded in 2011 based in Los Angeles. The band has released four EPs, six albums, and a silent album on Spotify titled Sleepify, royalties from which funded Vulfpeck's admission-free tour in 2014. The band's most recent work was Clarity of Cal, a live album released in March 2025. The band members attended University of Michigan's music school. They first came together as a rhythm section for a performance at the Duderstadt Center, a university facility that houses an arts library and other resources."
Celso Mendes,14635,67879,
Italobrothers,525938,7063277,"Italobrothers is a German dance project from Nordhorn (Lower Saxony), Germany formed in November 2005. The band consists of the three members Zacharias Adrian, Kristian Sandberg and Matthias Metten (vocals). Because of their name, Italobrothers are often mistaken as Italian. Their record label is Zooland Records, which also houses stars like Cascada and Tune Up!. The musical style of Italobrothers is comparable with Italian dance acts like Bloom 06, Prezioso feat."
Laura Pausini,570023,22352442,"Laura Pausini is a five-time Grammy Award winning Italian singer, songwriter, producer and TV host. She is the most famous and successful Italian artist worldwide. Pausini is famed for her soulful voice and her romantic Latin pop and Pop ballads and love songs, although she has also dealt with other subjects such as poverty, war, and racism, among other social issues. She is fluent in several languages. Although she mainly sings in Spanish and Italian, she also sings in Portuguese, English, and French."
2NE1,731088,46220851,"2NE1 (pronounced ""to anyone"" or ""twenty-one""), is a 4 member South Korean group, formed under YG Entertainment in 2009. Originally considered to be a female answer to BIGBANG and going by the name ""21"", the ""NE"" was soon added after discovering another artist of that name. 2NE1 stands for ""New Evolution of the 21st Century"": ""NE"" meaning ""New Evolution"" and ""21"" standing for the ""21st Century."" They are often cited as the ""Queens of K-Pop."" The group was legally forced to disband by YG Entertainment on November 24"
Britney Spears,6353794,485908648,"Britney Jean Spears (born December 2, 1981 in McComb, Mississippi) is an American singer, songwriter, dancer and writer. She is credited with influencing the revival of teen pop during the late 1990s and early 2000s, for which she is referred to as the ""Princess of Pop"". Regarded as a pop icon, Spears has sold nearly 150 million records worldwide, including over 70 million solely in the United States, making her one of the world's best-selling music artists."
Kid Ink,883548,12516345,"Covered from head to toe in tattoos, Los Angeles-based rapper Kid Ink (aka Brian Collins) is wrecking havoc on the streets and in cyber world. The Rapper/Producer/Songwriter/Tattoo Aficionado has released three studio albums and charted two Top 20 hits in the USA. Having spent the majority of the early part of his career behind the control board and not the mic, Kid Ink crafting his production skills working with multi-platinum artists like Sean “Diddy” Combs and Sean Kingston as well Yung Berg and Nipsey Hussle."
Foxygen,605878,12284940,"Foxygen is an American indie rock duo originally formed in Westlake Village, California in 2005 by Jonathan Rado and Sam France. Their music initially featured many influences from 60s psychedelia, played with a rough lo-fi abandon. They self-released several EPs and albums between 2007 and 2011, including ""30 track space opera"" Jurassic Exxplosion Philippic, most of which are by now scarcely available. In 2011, they met producer/songwriter Richard Swift after handing him one of their EPs"
Rameez,11871,88931,
Calibre 50,158769,4215439,
Asu,8186,116333,"ASU (明透), stylized as ᴀsᴜ, is a virtual singer affiliated with Sinsekai Studio, debuted on 23/08/2021. She was a member of duo Albemuth alongside Aru, from 2022 until 2024."
Jason Derulo,3070048,59517487,"This is an incorrect tag for Jason Derülo. If you have last.fm Autocorrection turned on, your scrobbles will automatically redirect to the correct artist name. Otherwise, please fix your artist ID3 tags."
SEREBRO,404313,7163931,"SEREBRO is a successful Russian girl group, created by Maxim Fadeev in 2006. The members has been replaced throughout the years but Olga Seryabkina has stayed as the longest original member. In February 2019 she left the group along with Katya Kischuk and Tatiana Morgunova. Reason was that Seryabkina wanted to focus on her solo career. Three new girls wwre introduced after a casting show online. In October 2019 Fadeev announced that the label MALFA he released the SEREBRO songs on, has been terminated."
Cristian Castro,249389,4437830,"Cristian Castro (born Cristian Sáenz Castro on December 8th, 1974 in Mexico City) is a Grammy Award-nominated Mexican pop singer, songwriter and actor. He is sometimes simply known as Cristian or ""el Gallito Feliz"" (Spanish: ""The Happy Little Rooster""). He is also the lead singer of Mexican heavy metal band La Esfinge (under the pseudonym ""Lügh Draculea""), formed in 2014 along with ex-Maná and ex-Jaguares guitarist César ""Vampiro"" López. Castro added the ""h"" to his first name for the release of his successful album"
Ricardo Autobahn,2560,43474,"Ricardo Autobahn is an English producer, songwriter and musician. He is a member of the bands Spray and the Cuban Boys, who are most famous for their ""pass off"" UK Christmas hit ""Cognoscenti Vs. Intelligentsia"". The band allowed their label to market C vs I as ""The Hampster Dance Song"". In addition, Ricardo Autobahn was Rikki in the duo Rikki & Daz (along with Daz Sampson), and later on, also a member of the kids band the Barndance Boys. With Daz Sampson"
Midiland,61,225,
BTS,2306218,2897123876,"BTS (Korean: 방탄소년단; RR: Bangtan Sonyeondan), also known as the Bangtan Boys, is a seven-member South Korean boy band formed in Seoul in 2013. The septet co-writes and produces much of their output. Originally a hip hop group, their musical style has evolved to include a wide range of genres. Their lyrics, often focused on personal and social commentary, touch on the themes of mental health, troubles of school-age youth, loss, the journey towards loving oneself, and individualism."
Ruth B.,1180848,17710449,"Ruth Berhe (born July 2, 1995), better known by her stage name Ruth B., is a Canadian singer and songwriter hailing from Edmonton, Alberta. She began her musical career in 2013 by posting cover songs on Vine. In November 2015, she released her debut extended play The Intro. Her growing popularity was solidified in 2017 with the release of her debut album Safe Haven. As of December 2022, the album has received over 1.8 billion streams on Spotify."
Maroon 5,6546464,280533355,"Maroon 5 is an American pop rock band that originated in Los Angeles, California, United States. The group was formed in 1994 as Kara's Flowers while its members were still in high school and originally consisted of Adam Levine (lead vocals, guitar), Jesse Carmichael (guitar, backing vocals) Mickey Madden (bass guitar) and Ryan Dusick (drums). Kara's Flowers signed to Reprise Records and released an album, ""The Fourth World"", in 1997. After a tepid response to the album"
Natascha,5351,20780,"danish, shooting star"
